kit_number,player_name,position,Date of birth / Age,nationality,height,foot,joined,signed_from,contract,market_value,club_name
3,Arif Budiyono,Centre-Back,"Feb 26, 1993 (30)",Indonesia,"1,75m",right,30-Jan-23,Persekat Tegal,31-May-24,€75k,Persis Solo
5,Jaime,Centre-Back,"Feb 26, 1990 (33)",Brazil,"1,83m",right,13-Jun-22,Madura United FC,31-May-24,€275k,Persis Solo
6,Alfath Faathier,Right Winger,"Oct 6, 1995 (27)",Indonesia,"1,67m",right,1-Jul-21,Persija Jakarta,1-Jul-24,€125k,Persis Solo
7,Irfan Jauhari,Left Winger,"Jan 31, 2001 (22)",Indonesia,"1,73m",right,17-Apr-21,Bali United FC,31-May-26,€225k,Persis Solo
8,Taufiq Febriyanto,Defensive Midfield,"Feb 12, 1997 (26)",Indonesia,"1,66m",right,12-May-22,Persita Tangerang,31-May-24,€125k,Persis Solo
9,Fernando Rodríguez,Centre-Forward,"May 11, 1987 (36)",Spain,"1,81m",right,1-Aug-22,Johor Darul Ta'zim II,31-Dec-23,€200k,Persis Solo
10,Alexis Messidoro,Central Midfield,"May 13, 1997 (26)",Argentina,"1,71m",right,13-Jun-22,OF Ierapetras,31-May-25,€400k,Persis Solo
11,Gavin Kwan,Right-Back,"Apr 5, 1996 (27)",Indonesia,"1,80m",right,19-May-22,Bali United FC,31-May-24,€175k,Persis Solo
13,Marcell Januar,Centre-Back,"Jan 20, 2004 (19)",Indonesia,"1,77m",right,-,,31-May-25,€75k,Persis Solo
16,Chrystna Bhagascara,Central Midfield,"Jun 22, 1998 (25)",Indonesia,"1,71m",right,20-May-22,Persekat Tegal,20-May-25,€175k,Persis Solo
18,Arapenta Poerba,Attacking Midfield,"Nov 1, 1998 (24)",Indonesia,"1,73m",right,24-Apr-21,Bali United FC,31-May-24,€75k,Persis Solo
19,Roni,Centre-Forward,"Aug 2, 1993 (29)",Spain,"1,81m",right,1-Jul-23,Algeciras CF,31-May-24,€400k,Persis Solo
22,Sutanto Tan,Defensive Midfield,"May 4, 1994 (29)",Indonesia,"1,77m",right,12-May-22,PSM Makassar,31-May-26,€175k,Persis Solo
23,Samuel Simanjuntak,Left-Back,"Jul 31, 1999 (23)",Indonesia,"1,72m",left,1-Jul-23,PSM Makassar,31-May-24,€100k,Persis Solo
25,Moussa Sidibé,Attacking Midfield,"Nov 21, 1994 (28)",Mali,"1,70m",left,1-Jul-23,Johor Darul Ta'zim,31-May-25,€250k,Persis Solo
26,Rian Miziar,Centre-Back,"Oct 13, 1990 (32)",Indonesia,"1,75m",right,17-Apr-21,Muba Babel United FC,31-May-24,€75k,Persis Solo
27,Mohammad Kanu,Defensive Midfield,"Apr 27, 2001 (22)",Indonesia,"1,75m",right,1-May-21,Muba Babel United FC,31-May-25,€175k,Persis Solo
29,Rifqi Ray,Central Midfield,"Jun 22, 2004 (19)",Indonesia,"1,80m",left,1-Jul-23,PERSIS Solo Youth,31-May-25,-,Persis Solo
30,Eky Taufik,Right-Back,"Feb 15, 1991 (32)",Indonesia,"1,78m",right,29-Apr-21,Persela Lamongan,31-May-24,€100k,Persis Solo
31,Gianluca Pandeynuwu,Goalkeeper,"Nov 9, 1997 (25)",Indonesia,"1,85m",right,12-May-22,Borneo FC Samarinda,31-May-24,€175k,Persis Solo
34,Ilham Akbar,Centre-Back,"Jul 20, 2003 (19)",Indonesia,"1,85m",both,-,,31-May-25,-,Persis Solo
36,Althaf Alrizky,Right Winger,"Jan 6, 2003 (20)",Indonesia,"1,61m",right,25-Jun-22,PERSIS Solo Youth,31-May-26,€50k,Persis Solo
37,Faqih Maulana,Left-Back,"Sep 11, 2004 (18)",Indonesia,"1,74m",left,25-Jun-22,PERSIS Solo Youth,31-May-26,€25k,Persis Solo
44,Diego Bardanca,Centre-Back,"Mar 20, 1993 (30)",Philippines,"1,90m",left,1-Jul-23,Buriram United,31-May-25,€150k,Persis Solo
51,Pancar,Goalkeeper,"Apr 5, 2000 (23)",Indonesia,"1,75m",right,27-Aug-21,Without Club,27-Apr-24,€50k,Persis Solo
55,Erlangga Setyo,Goalkeeper,"Apr 16, 2003 (20)",Indonesia,"1,95m",right,1-Jan-23,PERSIS Solo Youth,31-May-26,€25k,Persis Solo
78,Zanadin Fariz,Central Midfield,"May 31, 2004 (19)",Indonesia,"1,66m",right,1-Jun-22,PERSIS Solo Youth,31-May-26,€100k,Persis Solo
80,Arkhan Kaka,Centre-Forward,"Sep 2, 2007 (15)",Indonesia,"1,88m",right,1-Jan-23,PERSIS Solo Youth,-,€50k,Persis Solo
87,Shulton Fajar,Defensive Midfield,"Feb 4, 1994 (29)",Indonesia,"1,68m",right,1-Jan-19,PSIM Yogyakarta,31-May-24,€125k,Persis Solo
91,Rendy Sanjaya,Left Winger,"Apr 11, 2004 (19)",Indonesia,"1,71m",left,1-Jul-23,PERSIS Solo Youth,31-May-25,-,Persis Solo
99,Ramadhan Sananta,Centre-Forward,"Nov 27, 2002 (20)",Indonesia,"1,82m",right,1-Jul-23,PSM Makassar,31-May-25,€250k,Persis Solo
3,Christian Rontini,Centre-Back,"Jul 20, 1999 (23)",Philippines,"1,86m",right,1-Jul-23,Kelantan FC,31-May-24,€75k,Persita Tangerang
5,Charisma Fathoni,Centre-Back,"Feb 25, 2001 (22)",Indonesia,"1,77m",right,1-May-22,Persita Tangerang Youth,-,€50k,Persita Tangerang
8,Irsyad Maulana,Right Winger,"Sep 27, 1993 (29)",Indonesia,"1,77m",right,15-Jan-23,Arema FC,-,€150k,Persita Tangerang
9,Ramiro Fergonzi,Centre-Forward,"May 14, 1989 (34)",Argentina,"1,78m",right,8-Jun-22,Persipura Jayapura,-,€175k,Persita Tangerang
10,Ezequiel Vidal,Attacking Midfield,"Aug 2, 1995 (27)",Argentina,"1,68m",left,15-Jun-22,Independiente Rivadavia,-,€275k,Persita Tangerang
11,Muhammad Toha,Right-Back,"Jun 30, 1997 (26)",Indonesia,"1,70m",right,19-Apr-17,Pro Duta FC Youth (- 2017),-,€200k,Persita Tangerang
12,Ambrizal Umanailo,Right Winger,"Jun 12, 1996 (27)",Indonesia,"1,66m",right,1-Jul-23,Borneo FC Samarinda,-,€100k,Persita Tangerang
13,Adeyemmy,Defensive Midfield,"May 21, 2004 (19)",Indonesia,"1,90m",right,1-Jul-23,Without Club,-,-,Persita Tangerang
14,Hanis Saghara,Centre-Forward,"Sep 8, 1999 (23)",Indonesia,"1,73m",right,15-Jan-23,Arema FC,-,€175k,Persita Tangerang
16,Fahd Alchoir,Defensive Midfield,"Dec 16, 2003 (19)",Indonesia,-,,1-Jan-23,Persita Tangerang Youth,-,€10k,Persita Tangerang
17,Sahrul Reza,Attacking Midfield,"Apr 19, 2002 (21)",Indonesia,-,right,1-Jul-23,Perserang Serang,-,-,Persita Tangerang
19,Javlon Guseynov,Centre-Back,"Jun 24, 1991 (32)",Uzbekistan,"1,85m",both,30-Jan-23,Borneo FC Samarinda,30-Jun-25,€325k,Persita Tangerang
21,Rendy Oscario,Goalkeeper,"Oct 7, 1998 (24)",Indonesia,"1,78m",left,1-Jul-23,Madura United FC,-,€150k,Persita Tangerang
22,Abu Rizal Maulana,Defensive Midfield,"Aug 27, 1994 (28)",Indonesia,"1,65m",right,14-May-22,PSM Makassar,-,€75k,Persita Tangerang
23,Fairuz Ohorella,Right-Back,"Mar 17, 2002 (21)",Indonesia,-,,1-Jan-23,Persita Tangerang Youth,-,€10k,Persita Tangerang
26,Adhitya Harlan,Goalkeeper,"Jun 17, 1987 (36)",Indonesia,"1,77m",right,1-Jul-23,PS Barito Putera,-,€75k,Persita Tangerang
27,Andrean Rindorindo,Centre-Back,"May 2, 2004 (19)",Indonesia,-,,1-Jan-23,Persita Tangerang Youth,-,-,Persita Tangerang
28,Surya Budi Prasetyo,Right Winger,,Indonesia,-,,1-Jul-23,Without Club,-,-,Persita Tangerang
29,Sirvi Arvani,Right Winger,"May 11, 1992 (31)",Indonesia,"1,72m",right,1-Jan-16,Persepam Pamekasan,-,€75k,Persita Tangerang
31,Arif Setiawan,Left-Back,"Sep 4, 1998 (24)",Indonesia,"1,73m",left,13-Jun-22,Dewa United FC,-,€125k,Persita Tangerang
32,Rifky Dwi Septiawan,Defensive Midfield,"Feb 3, 2002 (21)",Indonesia,-,left,4-Mar-21,Persita Tangerang Youth,-,€75k,Persita Tangerang
33,Sin-young Bae,Defensive Midfield,"Jun 11, 1992 (31)","Korea, South","1,80m",right,16-Jun-21,Suphanburi FC,2026,€225k,Persita Tangerang
40,Ikwan Tanamal,Attacking Midfield,"Dec 28, 2003 (19)",Indonesia,-,,1-Jul-23,Without Club,-,-,Persita Tangerang
47,Mohammad Afganiladin,Attacking Midfield,"Oct 22, 2001 (21)",Indonesia,-,,1-Jul-22,Persita Tangerang Youth,-,€25k,Persita Tangerang
66,Mario Jardel,Centre-Back,"Nov 7, 2000 (22)",Indonesia,"1,65m",right,10-May-22,PERSIB Bandung,-,€75k,Persita Tangerang
77,Badrian Ilham,Midfield,,Indonesia,-,,1-Jul-23,Without Club,-,-,Persita Tangerang
78,Muhamad Darmawan,Goalkeeper,"Mar 16, 2002 (21)",Indonesia,"1,82m",right,1-Jan-22,Persita Tangerang Youth,-,€25k,Persita Tangerang
88,Fahreza Sudin,Defensive Midfield,"Aug 12, 2000 (22)",Indonesia,"1,68m",right,10-Jun-22,Belitong FC,-,€100k,Persita Tangerang
90,Jack Brown,Attacking Midfield,"Nov 2, 2001 (21)",Indonesia,"1,75m",right,28-Dec-21,Lincoln City U18,-,€25k,Persita Tangerang
92,Mateo Bustos,Central Midfield,"Oct 9, 1992 (30)",Argentina,"1,69m",left,1-Jul-23,Without Club,-,€100k,Persita Tangerang
94,Heri Susanto,Left Winger,"Jul 15, 1994 (28)",Indonesia,"1,70m",left,13-May-22,PERSIS Solo,-,€125k,Persita Tangerang
99,Esal Sahrul,Left Winger,"Mar 14, 2002 (21)",Indonesia,-,,1-Jan-23,Persita Tangerang Youth,-,€10k,Persita Tangerang
1,Norhalid,Goalkeeper,"Jun 14, 1997 (26)",Indonesia,"1,80m",,6-Jun-21,Persibangga Purbalingga,31-May-24,€50k,PS Barito Putra
2,Bagas Kaffa,Right-Back,"Jan 16, 2002 (21)",Indonesia,"1,70m",right,1-Jan-20,PS Barito Putera Youth,1-Apr-26,€225k,PS Barito Putra
3,Yuswanto Aditya,Centre-Back,"May 10, 2000 (23)",Indonesia,"1,79m",right,1-Jan-20,PS Barito Putera Youth,31-May-24,€50k,PS Barito Putra
4,Muhammad Helmi,Centre-Back,"Jun 2, 2000 (23)",Indonesia,-,right,1-Jun-22,Persemar Martapura,31-May-24,€25k,PS Barito Putra
6,Carli de Murga,Centre-Back,"Nov 30, 1988 (34)",Philippines,"1,80m",right,1-Jul-23,Kelantan FC,1-Jun-24,€100k,PS Barito Putra
7,Makan Konate,Attacking Midfield,"Nov 10, 1991 (31)",Mali,"1,78m",right,1-Jul-23,RANS Nusantara FC,-,€225k,PS Barito Putra
8,Chris Rumbiak,Right Winger,"Jun 24, 2001 (22)",Indonesia,"1,63m",right,1-Jan-23,Perserang Serang,31-May-24,€50k,PS Barito Putra
11,Gustavo Tocantins,Second Striker,"Jan 11, 1996 (27)",Brazil,"1,79m",both,7-Jan-23,Persikabo 1973,2024,€200k,PS Barito Putra
13,Bayu Pradana,Defensive Midfield,"Apr 19, 1991 (32)",Indonesia,"1,80m",right,22-Jan-19,PS Mitra Kukar,31-May-25,€175k,PS Barito Putra
14,Nazar Nurzaidin,Right-Back,"May 24, 1995 (28)",Indonesia,"1,72m",right,1-Jul-16,PS Barito Putera Youth,-,€100k,PS Barito Putra
15,Rafi Syarahil,Defensive Midfield,"Nov 15, 2000 (22)",Indonesia,"1,67m",right,1-Jan-18,PS Barito Putera Youth,-,€100k,PS Barito Putra
16,Alexandro Kamuru,Left-Back,"Aug 19, 2005 (17)",Indonesia,"1,70m",left,4-Mar-21,PS Barito Putera Youth,-,€25k,PS Barito Putra
17,Ferdiansyah,Defensive Midfield,"Apr 24, 2000 (23)",Indonesia,"1,67m",right,1-Jan-19,PS Barito Putera Youth,31-May-24,€75k,PS Barito Putra
18,Afdal Yusra,Centre-Forward,"May 4, 1998 (25)",Indonesia,"1,78m",right,23-May-22,Sulut United FC,-,€75k,PS Barito Putra
19,Ilham Mahendra,Right-Back,"Sep 20, 1996 (26)",Indonesia,"1,74m",right,1-Jul-23,Persiba Balikpapan,-,€75k,PS Barito Putra
20,Bagus Kahfi,Centre-Forward,"Jan 16, 2002 (21)",Indonesia,"1,69m",right,1-Jul-23,Asteras Tripolis,-,€50k,PS Barito Putra
22,Alif Jaelani,Attacking Midfield,"Jul 5, 2002 (21)",Indonesia,"1,72m",right,4-Mar-21,PS Barito Putera Youth,-,€50k,PS Barito Putra
23,Hasim Kipuw,Centre-Back,"May 9, 1988 (35)",Indonesia,"1,80m",right,1-Jul-23,Madura United FC,-,€50k,PS Barito Putra
24,Aditiya Daffa,Central Midfield,"Jan 11, 2004 (19)",Indonesia,"1,70m",right,4-Mar-21,PS Barito Putera Youth,-,€25k,PS Barito Putra
26,Rizky Pora,Left Winger,"Nov 22, 1989 (33)",Indonesia,"1,71m",left,1-Apr-16,Pusamania Borneo FC,31-Dec-23,€150k,PS Barito Putra
27,Reza Zuhro,Attacking Midfield,"Jan 2, 2004 (19)",Indonesia,-,,24-Oct-22,PS Barito Putera Youth,31-May-24,€25k,PS Barito Putra
28,Buyung Ismu Lessy,Attacking Midfield,"May 8, 1999 (24)",Indonesia,"1,72m",both,30-Aug-21,Without Club,31-May-24,€100k,PS Barito Putra
31,Murilo,Centre-Forward,"Mar 8, 1995 (28)",Brazil,"1,80m",right,1-Jul-23,Virtus Francavilla Calcio,-,€200k,PS Barito Putra
32,Ega Rizky,Goalkeeper,"Aug 23, 1992 (30)",Indonesia,"1,76m",right,1-Jul-23,PSS Sleman,-,€125k,PS Barito Putra
36,Renan Alves,Centre-Back,"Dec 17, 1992 (30)",Brazil,"1,91m",right,11-Jan-22,Kedah Darul Aman FC,31-Dec-23,€300k,PS Barito Putra
70,Patrick Womsiwor,Attacking Midfield,"May 26, 2001 (22)",Indonesia,"1,70m",left,18-Jan-23,Persipura Jayapura,-,€50k,PS Barito Putra
81,Dhika Bayangkara,Goalkeeper,"Apr 29, 1991 (32)",Indonesia,"1,80m",right,1-Jul-23,Persita Tangerang,-,€125k,PS Barito Putra
85,Muhamad Firly,Centre-Back,"Jul 16, 1999 (23)",Indonesia,"1,85m",right,27-Jan-20,PS Barito Putera Youth,-,€75k,PS Barito Putra
92,Frendi Saputra,Left-Back,"Jan 27, 1992 (31)",Indonesia,"1,73m",right,1-Jul-23,Dewa United FC,-,€175k,PS Barito Putra
95,Mike Ott,Attacking Midfield,"Mar 2, 1995 (28)",Philippines,"1,67m",both,1-Aug-22,United City FC,31-May-24,€250k,PS Barito Putra
97,Mario Londok,Goalkeeper,"Nov 14, 1997 (25)",Indonesia,"1,80m",right,1-Jul-23,PERSIB Bandung,-,€25k,PS Barito Putra
98,Eksel Runtukahu,Centre-Forward,"Sep 2, 1998 (24)",Indonesia,"1,75m",right,1-Jul-23,Sulut United FC,-,€100k,PS Barito Putra
99,Rahmat Beri Santoso,Centre-Forward,"Feb 2, 2004 (19)",Indonesia,"1,73m",right,9-Jan-22,PS Barito Putera Youth,31-May-24,€50k,PS Barito Putra
3,Haykal Alhafiz,Left-Back,"Mar 24, 2001 (22)",Indonesia,-,left,1-Jul-23,Persikab Bandung,-,-,PSIS Semarang
4,Sabillah,Centre-Back,"May 10, 1994 (29)",Indonesia,"1,82m",right,1-Jul-23,Persik Kediri,-,€150k,PSIS Semarang
5,Wahyu Prasetyo,Centre-Back,"Mar 21, 1998 (25)",Indonesia,"1,80m",right,16-Jan-20,Cilegon United FC,31-May-24,€200k,PSIS Semarang
7,Vitinho,Right Winger,"May 10, 1993 (30)",Brazil,"1,74m",both,29-Jan-23,Vitória Setúbal FC,30-Jun-24,€125k,PSIS Semarang
10,Taisei Marukawa,Left Winger,"Jan 30, 1997 (26)",Japan,"1,69m",right,1-Apr-22,Persebaya Surabaya,31-May-25,€375k,PSIS Semarang
11,Gian Zola,Attacking Midfield,"Aug 5, 1998 (24)",Indonesia,"1,65m",left,1-Jul-23,Arema FC,-,€175k,PSIS Semarang
13,Bayu Fiqri,Right-Back,"Aug 10, 2001 (21)",Indonesia,"1,76m",right,1-Jul-23,Persib Bandung,-,€125k,PSIS Semarang
14,Riyan Ardiansyah,Right Winger,"May 14, 1996 (27)",Indonesia,"1,74m",right,1-Jan-19,Persiwa Wamena,31-May-26,€125k,PSIS Semarang
15,Giovani Numberi,Left-Back,"Apr 22, 2000 (23)",Indonesia,"1,73m",right,1-Jul-23,Persipura Jayapura,-,-,PSIS Semarang
17,Paulo Gali,Left Winger,,Timor-Leste,"1,65m",left,1-Jul-23,Karketu Dili FC,-,€50k,PSIS Semarang
19,Alfeandra Dewangga,Centre-Back,"Jun 28, 2001 (22)",Indonesia,"1,79m",left,10-Jan-20,PSIS Semarang Youth,30-Jun-25,€225k,PSIS Semarang
20,Brandon Scheunemann,Centre-Back,"Mar 9, 2005 (18)",Indonesia,"1,86m",right,15-Jan-23,PERSIS Solo Youth,-,€75k,PSIS Semarang
21,Boubakary Diarra,Defensive Midfield,"Aug 30, 1993 (29)",France,"1,87m",right,1-Jul-23,Mosta FC,-,€250k,PSIS Semarang
23,Wawan Febrianto,Left Winger,"Feb 23, 1994 (29)",Indonesia,"1,67m",left,11-May-22,Borneo FC Samarinda,-,€175k,PSIS Semarang
28,Mohammad Akrom,Centre-Forward,"Feb 28, 2003 (20)",Indonesia,"1,77m",right,1-Jul-23,Persikab Bandung,-,-,PSIS Semarang
29,David Maulana,Right Winger,"Sep 2, 1996 (26)",Indonesia,"1,74m",both,21-Jan-19,PS Mitra Kukar,-,€100k,PSIS Semarang
30,Adi Satryo,Goalkeeper,"Jul 7, 2001 (21)",Indonesia,"1,79m",right,2-Jan-23,Persik Kediri,-,€175k,PSIS Semarang
46,Fredyan Wahyu,Right-Back,"Apr 11, 1998 (25)",Indonesia,"1,66m",right,9-May-19,PSMS Medan,31-May-24,€225k,PSIS Semarang
51,Syaiful,Goalkeeper,"Jun 11, 1993 (30)",Indonesia,"1,75m",right,1-Jul-23,Dewa United FC,-,€75k,PSIS Semarang
52,Rizky Darmawan,Goalkeeper,"Feb 5, 1994 (29)",Indonesia,"1,80m",left,1-Jul-23,Persita Tangerang,-,€75k,PSIS Semarang
56,Ridho Syuhada,Attacking Midfield,"Jun 18, 2004 (19)",Indonesia,"1,71m",right,1-Jan-23,PSIS Semarang Youth,-,€75k,PSIS Semarang
57,Faizin Madilesa,Midfield,"Nov 25, 2005 (17)",Indonesia,-,,1-Jul-23,PSIS Semarang Youth,-,-,PSIS Semarang
68,Tri Setiawan,Defensive Midfield,"May 20, 2004 (19)",Indonesia,"1,78m",,1-Jul-23,Persipal Palu (Babel United),-,-,PSIS Semarang
69,Delvin Rumbino,Central Midfield,"Jun 3, 1995 (28)",Indonesia,"1,75m",right,10-May-22,PERSIS Solo,31-May-24,€125k,PSIS Semarang
71,Luthfi Kamal,Defensive Midfield,"Jan 20, 1999 (24)",Indonesia,"1,70m",right,3-Jan-23,PS Barito Putera,-,€175k,PSIS Semarang
76,Husein Akbar,Goalkeeper,"Feb 18, 2005 (18)",Indonesia,-,,1-Jul-23,PSIS Semarang Youth,-,-,PSIS Semarang
90,Carlos Fortes,Centre-Forward,"Nov 9, 1994 (28)",Portugal,"1,88m",right,1-Apr-22,Arema FC,30-Jun-24,€300k,PSIS Semarang
93,Lucão,Centre-Back,"Jul 10, 1993 (29)",Brazil,"1,96m",right,1-Jul-23,Persikabo 1973,-,€225k,PSIS Semarang
99,Rizky Dwi,Centre-Forward,"Apr 9, 1999 (24)",Indonesia,"1,84m",right,1-Jul-23,Sulut United FC,-,€50k,PSIS Semarang
1,Ardiansyah,Goalkeeper,"Mar 28, 2003 (20)",Indonesia,"1,87m",right,9-Jun-21,PSM Makassar Youth,2025,€25k,PSM Makassar
2,Kike Linares,Centre-Back,"Jul 12, 1999 (23)",Philippines,"1,87m",right,1-Jul-23,Lamphun Warriors,2024,€125k,PSM Makassar
4,Yuran Fernandes,Centre-Back,"Oct 19, 1994 (28)",Cape Verde,"1,98m",left,4-Jun-22,SC União Torreense,2026,€325k,PSM Makassar
5,Erwin Gutawa,Centre-Back,"Jul 6, 1992 (30)",Indonesia,"1,75m",right,1-Mar-21,Sriwijaya FC,2024,€100k,PSM Makassar
7,Victor Dethan,Right Winger,"Jul 11, 2004 (18)",Indonesia,"1,74m",right,1-Jan-23,PSM Makassar Youth,2024,€75k,PSM Makassar
8,Ananda Raehan,Defensive Midfield,"Dec 17, 2003 (19)",Indonesia,"1,75m",right,1-Jun-22,PSM Makassar Youth,2026,€100k,PSM Makassar
9,Donald Bissa,Centre-Forward,"Dec 13, 1991 (31)",Indonesia,"1,85m",right,1-Aug-22,Without Club,2024,€75k,PSM Makassar
10,Everton,Centre-Forward,"Jul 3, 1993 (30)",Brazil,"1,86m",right,18-May-22,Hidd SCC,2024,€225k,PSM Makassar
11,Dzaky Asraf,Right Winger,"Feb 6, 2003 (20)",Indonesia,"1,70m",right,1-Jun-22,PSM Makassar Youth,2026,€125k,PSM Makassar
14,Sulthan Zaky,Centre-Back,"Mar 23, 2006 (17)",Indonesia,"1,86m",right,1-Jan-23,PSM Makassar Youth,-,€50k,PSM Makassar
15,Ricky Pratama,Centre-Forward,"May 6, 2003 (20)",Indonesia,"1,78m",right,1-Jul-22,PSM Makassar Youth,-,€50k,PSM Makassar
16,Sandy Ferizal,Right-Back,"May 17, 1999 (24)",Indonesia,"1,78m",right,1-Jul-23,Persela Lamongan,-,€100k,PSM Makassar
17,Rasyid Bakri,Central Midfield,"Jan 17, 1991 (32)",Indonesia,"1,64m",right,1-Jul-11,PSM Makassar Youth,2024,€150k,PSM Makassar
18,Andy Harjito,Centre-Forward,"Sep 27, 2001 (21)",Indonesia,"1,80m",right,1-Jul-23,Borneo FC Samarinda,1-Jun-24,€75k,PSM Makassar
19,Rizky Pellu,Central Midfield,"Jun 26, 1992 (31)",Indonesia,"1,77m",right,24-May-23,Bali United FC,2025,€125k,PSM Makassar
20,Adilson Silva,Centre-Forward,"Jul 30, 1997 (25)",Portugal,"1,91m",right,1-Jul-23,Real SC,2024,-,PSM Makassar
21,Raka Okta,Goalkeeper,"Oct 1, 2004 (18)",Indonesia,"1,76m",,1-Jan-23,PSS Sleman Youth,2025,€25k,PSM Makassar
22,Yakob Sayuri,Right Winger,"Sep 22, 1997 (25)",Indonesia,"1,68m",right,1-Feb-20,PS Barito Putera,2024,€225k,PSM Makassar
23,Yance Sayuri,Left-Back,"Sep 22, 1997 (25)",Indonesia,"1,65m",left,20-Mar-21,Persemi Mimika,2024,€200k,PSM Makassar
24,Rizky Eka Pratama,Right Winger,"Dec 24, 1999 (23)",Indonesia,"1,71m",right,1-Mar-19,PSM Makassar Youth,2026,€175k,PSM Makassar
26,Harlan Suardi,Goalkeeper,"Jan 26, 1999 (24)",Indonesia,"1,75m",right,15-Jun-22,Persijap Jepara,2025,€75k,PSM Makassar
27,Safrudin Tahar,Right-Back,"Dec 13, 1993 (29)",Indonesia,"1,72m",right,14-May-22,Borneo FC Samarinda,2024,€150k,PSM Makassar
30,Reza Pratama,Goalkeeper,"May 18, 2000 (23)",Indonesia,"1,88m",right,1-Jan-19,PSM Makassar Youth,2026,€175k,PSM Makassar
39,Kenzo Nambu,Attacking Midfield,"Aug 22, 1992 (30)",Japan,"1,73m",right,6-Jun-22,Rayong FC,30-Jun-24,€200k,PSM Makassar
41,Adil Nur,Defensive Midfield,"May 10, 2004 (19)",Indonesia,-,,7-Dec-22,PSM Makassar Youth,-,€25k,PSM Makassar
45,Akbar Tanjung,Defensive Midfield,"May 16, 1993 (30)",Indonesia,"1,86m",right,31-May-22,PSIM Yogyakarta,2024,€175k,PSM Makassar
48,Muhammad Arfan,Defensive Midfield,"Jan 22, 1998 (25)",Indonesia,"1,70m",right,1-Dec-17,PSM Makassar Youth,2026,€225k,PSM Makassar
68,Daffa Salman,Centre-Back,"Apr 30, 2002 (21)",Indonesia,-,right,20-Jul-23,Persela Lamongan,-,-,PSM Makassar
71,Mufli Hidayat,Centre-Forward,"Aug 7, 2005 (17)",Indonesia,"1,72m",right,1-Dec-22,PSM Makassar Youth,-,€50k,PSM Makassar
74,Edgard Amping,Left-Back,"Jun 9, 2003 (20)",Indonesia,"1,68m",left,1-Jan-22,PSM Makassar Youth,31-Dec-25,€75k,PSM Makassar
77,Syamil Bahij,Goalkeeper,,Indonesia,"1,80m",,14-Jul-23,Without Club,16-Jul-05,-,PSM Makassar
80,Wiljan Pluim,Attacking Midfield,"Jan 4, 1989 (34)",Netherlands,"1,94m",right,1-Aug-16,Becamex Binh Duong FC,31-Dec-25,€300k,PSM Makassar
1,Anthony Pinthus,Goalkeeper,"Apr 4, 1998 (25)",Philippines,"1,82m",right,1-Jul-23,Without Club,-,€150k,PSS Sleman
3,Muhammad Fariz,Right-Back,"Sep 2, 2004 (18)",Indonesia,"1,60m",right,1-Jul-22,PSS Sleman Youth,-,€25k,PSS Sleman
4,Nurdiansyah,Centre-Back,"Dec 18, 1998 (24)",Indonesia,"1,76m",left,1-Jul-23,Borneo FC Samarinda,-,€125k,PSS Sleman
5,Thales,Centre-Back,"Apr 6, 1993 (30)",Brazil,"1,88m",right,1-Jul-23,Centro Sportivo Alagoano (AL),-,€350k,PSS Sleman
6,Jihad Ayoub,Defensive Midfield,"Mar 30, 1995 (28)",Lebanon,"1,87m",right,6-Jul-22,Al-Ansar FC,2024,€275k,PSS Sleman
7,Kei Sano,Left Winger,"Apr 3, 1992 (31)",Japan,"1,72m",right,1-Jul-23,Sirens FC,-,€225k,PSS Sleman
8,Esteban Vizcarra,Left Winger,"Apr 11, 1986 (37)",Indonesia,"1,75m",both,1-Jul-23,Madura United FC,-,€50k,PSS Sleman
9,Saddam Gaffar,Centre-Forward,"Sep 24, 2001 (21)",Indonesia,"1,87m",left,29-Aug-19,PSS Sleman Youth,30-Apr-24,€150k,PSS Sleman
10,Yevgen Bokhashvili,Centre-Forward,"Jan 5, 1993 (30)",Ukraine,"1,85m",both,9-Jan-23,SC Otelul Galati,-,€175k,PSS Sleman
11,Ricky Cawor,Centre-Forward,"Jan 26, 1998 (25)",Indonesia,"1,65m",right,19-Jan-23,Persija Jakarta,-,€125k,PSS Sleman
12,Muhammad Ridwan,Goalkeeper,"Mar 26, 1991 (32)",Indonesia,"1,79m",right,23-Apr-22,Madura United FC,-,€150k,PSS Sleman
14,Diop Wamu,Central Midfield,"Jun 20, 2002 (21)",Indonesia,"1,59m",,1-Jul-23,Without Club,2026,-,PSS Sleman
17,Riki Dwi Saputro,Centre-Forward,"Feb 20, 1995 (28)",Indonesia,"1,75m",right,15-Apr-22,Persekat Tegal,-,€125k,PSS Sleman
20,Haris Tuharea,Left Winger,"Nov 22, 1994 (28)",Indonesia,"1,72m",right,19-Jan-23,Madura United FC,-,€100k,PSS Sleman
21,Dimas Fani,Goalkeeper,"May 18, 2000 (23)",Indonesia,"1,75m",right,20-Aug-20,PSS Sleman Youth,31-Mar-23,€25k,PSS Sleman
22,Ibrahim Sanjaya,Right-Back,"Aug 26, 1997 (25)",Indonesia,"1,78m",right,23-Apr-22,Persik Kediri,-,€125k,PSS Sleman
23,Kim Kurniawan,Central Midfield,"Mar 23, 1990 (33)",Indonesia,"1,68m",both,1-Mar-21,PERSIB Bandung,-,€150k,PSS Sleman
25,Derry Rachman,Left-Back,"Dec 15, 1994 (28)",Indonesia,"1,60m",left,27-Jan-19,PS Mojokerto Putra,-,€125k,PSS Sleman
